num_simulations,window_sites,final_train_loss,final_val_loss,best_val_loss,epochs_trained,test_case,mean_mae,rmse,mean_coverage,mean_wasserstein,mean_kl
1000000,25,-21.015072414279516,-21.478153513793945,-21.65292887451172,51,low_drift_high_bump,0.3893856108188629,0.4888232350349426,0.0,12.859502302805582,16.43530324492173
1000000,25,-21.015072414279516,-21.478153513793945,-21.65292887451172,51,high_drift_low_bump,0.6916918754577637,0.7610778212547302,0.0,0.686656496922175,2.142795812437533
1000000,25,-21.015072414279516,-21.478153513793945,-21.65292887451172,51,balanced,0.7671449780464172,0.9005758762359619,0.0,3.114796392917633,16.296106890617672
1000000,50,-21.771229041137694,-21.57076005126953,-22.638162888793946,51,low_drift_high_bump,0.23987369239330292,0.29109424352645874,0.3333333432674408,1.5519867126146953,2.145911567179073
1000000,50,-21.771229041137694,-21.57076005126953,-22.638162888793946,51,high_drift_low_bump,0.6103437542915344,0.714025616645813,0.0,2.0404756426811215,2.5351470882549836
1000000,50,-21.771229041137694,-21.57076005126953,-22.638162888793946,51,balanced,0.38456106185913086,0.3917151987552643,0.0,5.560974700848263,17.753216808419186
1000000,75,-22.66711863579644,-22.81803206970215,-23.32152847229004,51,low_drift_high_bump,0.39462414383888245,0.43956416845321655,0.3333333432674408,1.348037752310435,0.9898973873876972
1000000,75,-22.66711863579644,-22.81803206970215,-23.32152847229004,51,high_drift_low_bump,0.8515284061431885,0.884012758731842,0.0,0.77572700659434,1.755782604246284
1000000,75,-22.66711863579644,-22.81803206970215,-23.32152847229004,51,balanced,0.4034031927585602,0.4075826108455658,0.0,3.107302271525065,2.960377769295245
1000000,100,-23.54743556345622,-23.271445646362306,-24.3177683203125,51,low_drift_high_bump,0.23656393587589264,0.24017594754695892,0.3333333432674408,0.7234714206059775,0.8135403513769027
1000000,100,-23.54743556345622,-23.271445646362306,-24.3177683203125,51,high_drift_low_bump,0.15645813941955566,0.2465844303369522,1.0,0.039817018111546844,0.4367534348629622
1000000,100,-23.54743556345622,-23.271445646362306,-24.3177683203125,51,balanced,0.25589677691459656,0.36767518520355225,1.0,0.22516430020332345,0.6533873955415624
2000000,25,-21.756096853908964,-22.59357491394043,-22.59357491394043,51,low_drift_high_bump,0.3968620300292969,0.4790254235267639,0.0,7.727867066860199,13.3446501537427
2000000,25,-21.756096853908964,-22.59357491394043,-22.59357491394043,51,high_drift_low_bump,0.7957223057746887,0.8940582871437073,0.0,6196.8636400612195,23.025850356769904
2000000,25,-21.756096853908964,-22.59357491394043,-22.59357491394043,51,balanced,0.5746800899505615,0.6566913723945618,0.0,615.9979095196724,22.58022412992496
2000000,50,-22.394142188042533,-22.987467547912598,-23.36768331665039,51,low_drift_high_bump,0.1851956695318222,0.2176327407360077,0.6666666865348816,4.709441072146098,3.3066876889754355
2000000,50,-22.394142188042533,-22.987467547912598,-23.36768331665039,51,high_drift_low_bump,0.8125752806663513,0.8198857307434082,0.0,0.842902826666832,3.8656173578334543
2000000,50,-22.394142188042533,-22.987467547912598,-23.36768331665039,51,balanced,0.4253586232662201,0.43459799885749817,0.0,70.41059636791547,22.04663934468744
2000000,75,-23.292898235575358,-22.32074721496582,-23.794860832519532,51,low_drift_high_bump,0.10590445250272751,0.10959368199110031,1.0,1.758335296312968,0.6148656886421457
2000000,75,-23.292898235575358,-22.32074721496582,-23.794860832519532,51,high_drift_low_bump,0.5235524773597717,0.6698893904685974,0.0,0.41288057784239457,1.4764135610613742
2000000,75,-23.292898235575358,-22.32074721496582,-23.794860832519532,51,balanced,0.0791248306632042,0.11544439941644669,0.6666666865348816,0.23817133943239852,0.6475312402584218
2000000,100,-24.102343389316136,-23.853645751342775,-24.775863021240234,51,low_drift_high_bump,0.26445314288139343,0.2960789203643799,0.6666666865348816,3.0627639524141945,0.6166961204042886
2000000,100,-24.102343389316136,-23.853645751342775,-24.775863021240234,51,high_drift_low_bump,0.16898661851882935,0.22026698291301727,1.0,0.11259357055028281,0.3004052388550176
2000000,100,-24.102343389316136,-23.853645751342775,-24.775863021240234,51,balanced,0.28932762145996094,0.4394737184047699,0.6666666865348816,0.5977582569917043,0.46235131016062114
