num_simulations,window_sites,final_train_loss,final_val_loss,best_val_loss,epochs_trained,test_case,mean_mae,rmse,mean_coverage,mean_wasserstein,mean_kl
1000,10,-9.31151618109809,-8.530780029296874,-8.530780029296874,51,low_drift_high_bump,0.15463067591190338,0.1743050515651703,1.0,208.56411858081822,2.2440636022250966
1000,10,-9.31151618109809,-8.530780029296874,-8.530780029296874,51,high_drift_low_bump,0.687652051448822,0.8341042399406433,0.3333333432674408,0.6830180190006893,2.980640007081474
1000,10,-9.31151618109809,-8.530780029296874,-8.530780029296874,51,balanced,0.5421844720840454,0.6098799109458923,0.0,708.7002970004082,10.245862741005968
1000,20,-9.932299363878037,-9.706509399414063,-10.468470458984376,51,low_drift_high_bump,0.6343976259231567,0.7328243255615234,0.0,14.771656354268393,14.854524114964425
1000,20,-9.932299363878037,-9.706509399414063,-10.468470458984376,51,high_drift_low_bump,0.7609977126121521,0.8653075695037842,0.0,0.7091575525204341,2.2866510651854814
1000,20,-9.932299363878037,-9.706509399414063,-10.468470458984376,51,balanced,0.5723949670791626,0.6384769678115845,0.0,2.900869310299555,15.319170449925622
1000,50,-10.316690131293402,-10.275487365722656,-10.275487365722656,51,low_drift_high_bump,0.08143304288387299,0.0946156457066536,1.0,24.70924349069595,0.7019222780210423
1000,50,-10.316690131293402,-10.275487365722656,-10.275487365722656,51,high_drift_low_bump,0.7448802590370178,0.849402904510498,0.0,0.7412306072314582,3.2566214594342977
1000,50,-10.316690131293402,-10.275487365722656,-10.275487365722656,51,balanced,0.5849321484565735,0.6546953916549683,0.0,2281.4257681961853,22.679682249098388
1000,100,-13.513432142469618,-12.350299072265624,-12.449024047851562,51,low_drift_high_bump,0.15421368181705475,0.174641415476799,1.0,7.8470043627421076,0.7086964737028554
1000,100,-13.513432142469618,-12.350299072265624,-12.449024047851562,51,high_drift_low_bump,0.20516587793827057,0.2939792573451996,1.0,0.08253463506698606,0.20335444366502023
1000,100,-13.513432142469618,-12.350299072265624,-12.449024047851562,51,balanced,0.2676381766796112,0.29829004406929016,1.0,0.3699242218335468,0.34091737011439066
1000,200,-14.042261420355903,-11.96135498046875,-12.15022705078125,51,low_drift_high_bump,0.1948571652173996,0.2039891481399536,0.6666666865348816,72.55766599416735,1.384599587704507
1000,200,-14.042261420355903,-11.96135498046875,-12.15022705078125,51,high_drift_low_bump,0.5845351815223694,0.7568038702011108,0.0,1.8240556333462399,0.8370902949295168
1000,200,-14.042261420355903,-11.96135498046875,-12.15022705078125,51,balanced,0.4951443374156952,0.572577953338623,0.0,3.018522423505783,1.7422909392969492
10000,10,-14.164662122938369,-14.695459411621094,-14.695459411621094,51,low_drift_high_bump,0.5117666721343994,0.5420856475830078,0.0,12.262556298971177,4.047151765586718
10000,10,-14.164662122938369,-14.695459411621094,-14.695459411621094,51,high_drift_low_bump,0.8393964767456055,0.8765569925308228,0.0,0.7458513202269872,4.8833663672974765
10000,10,-14.164662122938369,-14.695459411621094,-14.695459411621094,51,balanced,0.6897265911102295,0.7791700959205627,0.3333333432674408,2.5225315352280933,6.734989772483232
10000,20,-14.789296400282119,-15.011508911132813,-15.011508911132813,51,low_drift_high_bump,0.5384882092475891,0.6859606504440308,0.0,11.275337180495262,6.546486913230967
10000,20,-14.789296400282119,-15.011508911132813,-15.011508911132813,51,high_drift_low_bump,0.7782073020935059,0.8690292835235596,0.0,5649.919748799402,22.993170670752708
10000,20,-14.789296400282119,-15.011508911132813,-15.011508911132813,51,balanced,0.3143939971923828,0.34039995074272156,0.0,2.036105371713638,11.288875523675893
10000,50,-17.08179361300998,-16.464998291015625,-17.212129211425783,51,low_drift_high_bump,0.025668412446975708,0.03209352493286133,1.0,3.7124113504091896,0.9138691816163931
10000,50,-17.08179361300998,-16.464998291015625,-17.212129211425783,51,high_drift_low_bump,0.4132871627807617,0.48469820618629456,0.0,37.467219659487405,22.71476860189024
10000,50,-17.08179361300998,-16.464998291015625,-17.212129211425783,51,balanced,0.6118801832199097,0.666964054107666,0.0,2.3444674521684643,4.876287398634095
10000,100,-18.35427975124783,-18.05779150390625,-18.90394012451172,51,low_drift_high_bump,0.2231179028749466,0.26626741886138916,1.0,2.6766268932819366,0.92742907117118
10000,100,-18.35427975124783,-18.05779150390625,-18.90394012451172,51,high_drift_low_bump,0.1648426055908203,0.24785037338733673,1.0,0.07346993982791902,0.5701392786259221
10000,100,-18.35427975124783,-18.05779150390625,-18.90394012451172,51,balanced,0.394454687833786,0.518168568611145,0.6666666865348816,0.17983947316805526,0.46332612226372655
10000,200,-20.89361824544271,-19.30700946044922,-20.981605773925782,51,low_drift_high_bump,0.3425137996673584,0.3595844507217407,0.0,7.8736159324646,1.130912809745553
10000,200,-20.89361824544271,-19.30700946044922,-20.981605773925782,51,high_drift_low_bump,0.4702260196208954,0.5202133655548096,0.0,994.2863931397596,22.932927585214305
10000,200,-20.89361824544271,-19.30700946044922,-20.981605773925782,51,balanced,0.5197458267211914,0.5567694306373596,0.0,2905.874441748858,22.68142788506958
50000,10,-18.45701836344401,-19.185008715820313,-19.49668935546875,51,low_drift_high_bump,0.25680145621299744,0.2778961658477783,0.0,60.34856319506963,4.376714303175073
50000,10,-18.45701836344401,-19.185008715820313,-19.49668935546875,51,high_drift_low_bump,0.511911928653717,0.7038524746894836,0.0,0.7750471862157187,2.1210472254792854
50000,10,-18.45701836344401,-19.185008715820313,-19.49668935546875,51,balanced,0.3817300796508789,0.3898046016693115,0.0,3.249031536579132,11.524155663940695
50000,20,-16.78482395155165,-15.933897119140624,-17.225638391113282,51,low_drift_high_bump,0.3610936105251312,0.4111115634441376,0.3333333432674408,1610.910842572053,1.6282582103823282
50000,20,-16.78482395155165,-15.933897119140624,-17.225638391113282,51,high_drift_low_bump,0.7962632775306702,0.8947374224662781,0.0,6423.623688057661,23.025850343727132
50000,20,-16.78482395155165,-15.933897119140624,-17.225638391113282,51,balanced,0.5699592232704163,0.7029380202293396,0.3333333432674408,2.445089858174324,4.818060040339826
